author,account_category,followers
KIRKSEYSUSANNA,Unknown,87
KARLGOLDEARL,RightTroll,87
YOUKNOWJILLIAN,Unknown,87
CHERRYCHERYLFIN,Unknown,86
RIKASBAR,RightTroll,86
T0NY_0BRIEN,RightTroll,86
JEFFREYRAYMAY,LeftTroll,86
HENY_AMBERH,Fearmonger,85
LESLIE_FAULK,HashtagGamer,85
BACONTONIA,RightTroll,84
ZAKIALQADIR,Unknown,84
CAITLINMILLSYUP,Fearmonger,84
SM_DOWNEY,RightTroll,84
JAYBRND,RightTroll,84
ELISAAGREG,RightTroll,84
ANG__BOWERS,RightTroll,84
DADDILAZARUS,RightTroll,83
SOFIATACKLES,LeftTroll,83
SAMCHATMANNN,Fearmonger,83
MABLE_LANDRY,LeftTroll,83
SEANROY1984,RightTroll,83
WADEBINTOU,LeftTroll,83
MRMUSTACHEE,RightTroll,82
ANFRAIZER,RightTroll,82
AMYMUSICLL,RightTroll,82
DOUGGIEMAESTAS,RightTroll,82
WECONQUERWORLD,RightTroll,82
AN_N_GASTON,RightTroll,81
AMAMCAMCAM,RightTroll,81
BRONICKIJEWEL,RightTroll,81
VANWHITEBIRCHN,RightTroll,81
HOWMARCELLA,LeftTroll,81
STANLEY_SPIVEY,Unknown,81
GERTY_HAWA,Fearmonger,81
ELLAWONDERGIRL,RightTroll,81
GRACIE_____55,Unknown,81
NOTHING8SPECIAL,RightTroll,81
ALIZASSHIELD,RightTroll,81
RONICK_KK,RightTroll,80
BAYOFTAMARA,RightTroll,80
BETTERTHANYOU_U,RightTroll,80
KEVINNOTBROOKS,RightTroll,80
LARAPALMER23,LeftTroll,80
HEYITSGLOR,RightTroll,80
KIRSTENLADANIEL,RightTroll,80
DEBRA_STERN_,RightTroll,80
KYLES0CCER,RightTroll,79
MAD_BENJAMI,Unknown,79
AN_NA__AN,RightTroll,79
PAMPAMONEIL,RightTroll,79
JAMIESAMY,RightTroll,79
VICKYLOVELYG,RightTroll,79
MAHAFFEYSUSANN,Unknown,78
CAM_EVSSS,LeftTroll,78
TESSSFINN,RightTroll,78
AMELCREECH,RightTroll,78
KARL_SUMMERS,Fearmonger,78
MMORENOK,RightTroll,78
IRA_COMBOMB,LeftTroll,78
PLSCALLMEABBY,Unknown,78
JEROMYJEROM,RightTroll,77
ARGENTINACATLE1,LeftTroll,77
WINST_MARTIN,Unknown,77
DEREKDEREKCL,RightTroll,77
CAR_REMS,RightTroll,77
ODANNY_THEBOY,RightTroll,77
SPUNTMELODY,Fearmonger,77
SOSEANBEARD,RightTroll,77
ANITABR1994,RightTroll,77
TAMI8569,Fearmonger,77
BISHOLORINE,RightTroll,77
DUBOSEBELIKE,Unknown,77
BENNEDICT_KL,RightTroll,76
DENISEDENNDEN,Fearmonger,76
DELORESP00LE,RightTroll,76
RUSSODECLAN,RightTroll,76
ZHI_YUE_,RightTroll,76
JOHNS_GAVIN_,Fearmonger,76
CASSONDRATRUDE1,RightTroll,76
JMCD0WELL,RightTroll,76
JAYNELLSELTZER,RightTroll,76
RENALDOKYROU,RightTroll,75
CARSONYEARLY,RightTroll,75
MALLBOWEN,RightTroll,75
HONEYBOBOOBOO,RightTroll,75
ANTHONYCANLASS,HashtagGamer,75
FUNKY_KAY1,RightTroll,75
IRONSMIRANDA,Unknown,75
IWOMAMYBB,LeftTroll,75
FISHERRRCALEB,RightTroll,75
RITTERTRA,Fearmonger,74
KAYY_CURTIS,RightTroll,74
LEBLANCPETER_,RightTroll,74
MEREDITHWOHL,RightTroll,74
_SOLOMONALBERT_,LeftTroll,74
AMIRAHPOPE,LeftTroll,74
BRIANNA_DENTON_,RightTroll,74
ITSDEREKMOR,Unknown,74
1ERIK_LEE,RightTroll,74
KADENMCCRAY,LeftTroll,73
BROOKEDOZZIER,RightTroll,73
MARGIE__G,RightTroll,73
G__AHARON,RightTroll,73
BRITTANYLANE_1,RightTroll,73
BE_BRUTA_L,LeftTroll,73
BESSIECOOKSYOU,RightTroll,73
PEYRIDLEY,RightTroll,73
CONSUELABRUNAZ1,RightTroll,73
DER_RICKA,LeftTroll,73
JAIME_BOOO,LeftTroll,72
ASHLEY_KRI,RightTroll,72
OLLLLL_LLLLIE,RightTroll,72
DEREKKGREGORY,RightTroll,72
MARGARITASHIRAZ,RightTroll,72
FRANCESCADIAM,RightTroll,72
SUSANPETERSON_,Fearmonger,72
ERVIN_ALFORD,HashtagGamer,72
JAYCOBBRI,RightTroll,72
CALVIN_BARN,RightTroll,72
RYAN_BET,RightTroll,72
DJKATKATKATIE,RightTroll,72
FACEMECHASE,RightTroll,71
MARTINAFFF,RightTroll,71
BONDTONYB0ND,RightTroll,71
AMALIA_PETTY,RightTroll,71
EMMETTMTH,RightTroll,71
ALTMANBELINDA,RightTroll,71
JWOODS_MAN,RightTroll,71
ANISSNOVOTR,RightTroll,71
KARMAISABITCHH1,RightTroll,70
CHRIS_SIS_SIS,LeftTroll,70
NOT_MYHERITAGE,LeftTroll,70
SHUMITZUYOLO,Unknown,70
TERRIISTOOGOOD,RightTroll,70
DREEEEW1HUDS,RightTroll,70
MARIAHROOOSE,RightTroll,70
IBOCASID,Unknown,70
HENRIQUEZ_A2,RightTroll,69
MAGICMAGICWAND,RightTroll,69
DEVIN_YAT,RightTroll,69
LOGANLOGANSS,Fearmonger,69
NATH_ALMA_Z,RightTroll,69
VICKYROOOY,RightTroll,69
DORTHYSHARRER,Fearmonger,69
ADRI_LOW_R,LeftTroll,69
GINNAGINNAA,RightTroll,69
IVEY_MEXX,Fearmonger,69
CLAIRE_COURT_,RightTroll,69
BBHELGESON,RightTroll,69
OLIVIA1GB,RightTroll,69
DAN_SEL_LERS,Fearmonger,69
POWER_4LIFE,RightTroll,68
AYANNA__0,RightTroll,68
SAMMYDIXXXON,Unknown,68
TAN_BRAY,RightTroll,68
PORTER_2TYPE,RightTroll,68
CARMELMELLER,RightTroll,68
MATTHEW1STACEY,RightTroll,68
IM_MADELINE_,RightTroll,68
TEDCOOLASHELL,Unknown,68
ERNESTINEEALVAR,LeftTroll,68
_SHERYLGILBERT,RightTroll,68
AHOGAN_AM,LeftTroll,68
JENNAJENNKINS,Unknown,68
MIAONSEA,RightTroll,68
HUNGRYCELIA,Unknown,68
PABLOOPATTON,Unknown,68
TONYLYNNNNN,RightTroll,68
GOTRICIAG,RightTroll,67
BEETTYBECKS,RightTroll,67
VICTORIAMAXIMUS,Unknown,67
LOREENPAOLERA,RightTroll,67
BRENT_KENDRICK,Unknown,67
JAS_BAC,LeftTroll,67
ELIASAKAPARKER,Unknown,67
GEORGE_BENTLEY_,RightTroll,67
PARTYFORPATTY,RightTroll,67
THEGRANDTAYLOR,RightTroll,67
RIVKALANGE,Unknown,67
DANA_GARNER_ME,Fearmonger,67
TOMMYWATTSSS,RightTroll,66
BEGAYEVANGELINE,RightTroll,66
REALWATERLILYY,Unknown,66
MARYCARRY92,Unknown,66
GWEN_GARLAND,Fearmonger,66
CATKELLEY_,RightTroll,66
HIIMJOEBRYANT,RightTroll,66
SHERMUELLER,RightTroll,66
OHOHAHAS,RightTroll,66
HARRYMAGICIAN_,RightTroll,66
ONELOVEUNICORNS,Unknown,66
MEOFTHEWORLD,RightTroll,66
TT__NORTON,Unknown,66
OLIWAALERT,Unknown,66
PHILLIP_CHRIS10,RightTroll,66
ELMA_ELMAMA,RightTroll,65
GUIDILILLIE,RightTroll,65
DUNNOWHOWANNABE,RightTroll,65
LOLAPYKE,RightTroll,65
LILLYBOGGS,RightTroll,65
LITTLEBETTYY,Unknown,65
PERSSONSANDY,LeftTroll,65
DANIE_LLE_H,RightTroll,65
KYLIEMUSICIAN,RightTroll,65
KARI_DODSON,LeftTroll,65
BAKINGBEKKER,RightTroll,64
BIAANCLEESS,RightTroll,64
CASIE_LANG,Unknown,64
DONNIE_HERO_,RightTroll,64
KELVINKELKELVIN,RightTroll,64
MILAGROSVEVE,Unknown,64
CORNERGLOVES,RightTroll,64
ISA_BELLA_GR,RightTroll,64
DARNELLMATHISS,Unknown,63
ERNASHEPHARD,Unknown,63
DONALDOUCH,LeftTroll,63
NOAKSALVAN,Unknown,63
CATHERINECALLS,RightTroll,63
DONATELLOJACK,RightTroll,63
FREIDA_HW,LeftTroll,63
CUNEODOLORES,LeftTroll,63
NATHALYAPODACA,RightTroll,63
WONDERHANN,RightTroll,63
ACTIVEMIKR,Unknown,63
JOSEFASPANG,LeftTroll,63
JOSHUA_WOLFY,LeftTroll,63
JOYCE_JACKSON18,LeftTroll,63
JULIASEXYBECK,RightTroll,63
ANFINRUDSADIE,RightTroll,63
ANN1EMCCONNELL,RightTroll,63
ASHLEECOLLINSS,Unknown,63
SSABRINAHUH,RightTroll,62
FUKKKKHERR,RightTroll,62
KYLEBURRIT0,RightTroll,62
HERBERT_BACON,RightTroll,62
PAIGE_JAM,RightTroll,62
FRANCESCAVAND,Fearmonger,62
ANGELITHSS,RightTroll,62
BECCYWILL,RightTroll,62
BARELY_KIM,Unknown,62
STEPSTEP_HEN,RightTroll,62
LL0YDTHEKING,RightTroll,62
ROCKITJAN,Fearmonger,62
LIN1DIRECTION,Unknown,62
GEOREVIEWEUROPE,RightTroll,61
TYLERBOYERR,RightTroll,61
PETER_DOWNS_UP,Fearmonger,61
BELBELLOC,RightTroll,61
HOOPERIDA_,Unknown,61
LIANGBERTIE,LeftTroll,61
DEL_MCQUARRIE,RightTroll,61
IAMMONICABABY,RightTroll,61
EVANS_TAB,RightTroll,61
LORRY_COU,LeftTroll,61
WILLIETHELION,RightTroll,61
JEFFYDANIELS,RightTroll,61
KRISTIN_MARSH_,RightTroll,60
ALEXLOVESSHENNA,RightTroll,60
RUN_N_WIN,RightTroll,60
EMMA_FSSXX,RightTroll,60
FANNIEBRADLEY88,Fearmonger,60
LIZ_ZAL_,Unknown,60
DORARATCHET,RightTroll,60
4EVER_SUSAN,RightTroll,60
ALEXWARNINGU,RightTroll,60
BLACKPANTHER_TX,LeftTroll,60
BENDER_MEL,RightTroll,60
MARGARETMOAR,RightTroll,60
CARLOS_HNES,RightTroll,60
CHARLESDAILEY87,Unknown,60
BARRY_MILL,LeftTroll,60
SHANIA_TONEY,LeftTroll,60
CHANEUTRAL,RightTroll,60
ESTERBRIANG,Fearmonger,59
ESSIEBAILEY_,Unknown,59
ROBYNRHODE,Unknown,59
SONJAANDBRIDGES,LeftTroll,59
JOSHUASPENCE88,Unknown,59
ANITALOVEHEART,RightTroll,59
CAMERONJJJ11,RightTroll,59
ADELE_BROCK,RightTroll,59
JOHNMORGG,RightTroll,59
GAYLEHAPPYMOM,RightTroll,59
TAYLOR_PARKSY,Unknown,59
BALLLLWALT,HashtagGamer,59
GREINTRINA,LeftTroll,59
SHERLYMONMONC,RightTroll,58
KIRSTIEMNR,RightTroll,58
KENN_VILLA,RightTroll,58
VANESSA_A_LOTT,RightTroll,58
MOM_0F_TWINS,RightTroll,58
LEACH_4U,Unknown,58
TYLERBUCKBUCK,LeftTroll,58
SWEETKERRY54,Fearmonger,58
ASSUNCAOWALLAS,LeftTroll,58
ETTA_JHNS,Unknown,58
PEYTONM0DEL,RightTroll,58
TONYWILLDO,Unknown,58
GARRET_CANDICE,RightTroll,58
LUCKY_LEM0N,RightTroll,58
LAWRENCEDDDD,RightTroll,58
LARAHARRRRISON,RightTroll,58
KELBATT,Fearmonger,58
PRETTYSASHAH,RightTroll,58
ANN_HANAH,RightTroll,58
ZION_FRAZIER,RightTroll,58
MARKOSVINES,LeftTroll,58
MARIAOFSTEEL,LeftTroll,57
COLLY_MICK,RightTroll,57
ABELLABAB,LeftTroll,57
DOMM_CLAYTON,Unknown,57
MOJOYOMAN,RightTroll,57
YOURLOVELYCAROL,RightTroll,57
ERICKWALTT,HashtagGamer,57
JULIANNA_YES,Fearmonger,57
BERTHADAVIDSON_,Unknown,57
JAMIE_DIVER_,Unknown,57
SHEENA_RING,Fearmonger,57
GREG_GREGG_,LeftTroll,57
CHARLENE_TIMMO,RightTroll,57
RYANAMBISHOP,RightTroll,57
DARLENEKING_,RightTroll,57
ANTHONYCARTR,LeftTroll,57
FRIEDADAISY,RightTroll,57
TERRANCEPATIENT,LeftTroll,57
DIAMONDSL0VEME,Fearmonger,56
CLAY_NELS,LeftTroll,56
DANIELLETAWN,RightTroll,56
NIGHTGETSLONGER,Unknown,56
ADDIE_HOL,RightTroll,56
CH1ESTHER,LeftTroll,56
RAGLAND_LAND,Fearmonger,56
SABSABRIBA,Unknown,56
STINSON_SS,RightTroll,56
EDLEYIMOGENE,RightTroll,56
TONY_MAY_,Unknown,56
JACKIECOWBOY,LeftTroll,56
KL_SPEN,RightTroll,56
JIMYLEVY,Unknown,56
LORENAISHOT,Unknown,56
MISTERBRIDGES_,Unknown,56
METSTHEBEST,RightTroll,56
BRANDIHAGROVE,RightTroll,55
FREDYTHECREATOR,Fearmonger,55
JERALDWOOW,Unknown,55
HATTIEB78,RightTroll,55
CODYRANDAL1,RightTroll,55
MALKA_ESSS,Unknown,55
ARIELSHINING,RightTroll,55
MARIO_CO_WAY,LeftTroll,55
BERGERJAMIE75,RightTroll,55
AARONALLENALL,Fearmonger,55
SIENNASMM,Fearmonger,55
LOVELYBEE_ME,Unknown,55
HERNAMEWASNANCY,Unknown,55
MELISSAYESIAM,Fearmonger,55
ARNOLDPARRK,Fearmonger,55
AYDENBOSTON,LeftTroll,55
KISSKISSDEB,Fearmonger,55
PARISGAAAAAY,LeftTroll,55
SUTTON_TWEET,RightTroll,54
WILLIE_BIGN,Fearmonger,54
ALBERTA_HAYNESS,RightTroll,54
SHEILA_SHH,Fearmonger,54
JOHNBENBENTON,LeftTroll,54
ELBERTBOOM,Unknown,54
STACEWATERS_,Unknown,54
IRENEMCCANTS,RightTroll,54
RICHARDMALMAL,RightTroll,53
1D_NICOLE_,Fearmonger,53
GL_WORKMAN,Unknown,53
CHEYENNE_ENG,RightTroll,53
JUSTBE_MINE,Fearmonger,53
TOLLIVERSTEPH,Fearmonger,53
AMIRAFERRR,Unknown,53
ITSMONAMUUA,Fearmonger,53
LOU_GALLOWAY,Fearmonger,53
OHREALLYASHLEY,RightTroll,53
JESSEJYM,Unknown,53
MARTINES_TWEETS,Fearmonger,53
PATRICK_CLAYN,LeftTroll,53
SHANNONGIBSONIM,Fearmonger,53
ABRAMSREBEKAH,Unknown,53
KENNYGRATHAM,Fearmonger,52
CIARALOVEVE,Unknown,52
BARELYBARBOZA,Fearmonger,52
GUY_WHOMAKEIT,Fearmonger,52
SHERMAN_CN,Fearmonger,52
RACHELRAY1203,Fearmonger,52
BYERS_WAY,Unknown,52
ORIGINOFKATY,Fearmonger,52
DEELOCKMAN,RightTroll,52
KIRBYTHEFAMOUS,Fearmonger,52
CALVIN_YEK,Fearmonger,52
RADEKESOFIA,Fearmonger,52
SARAHTHHHH,Fearmonger,51
MARLEY_SHN,Fearmonger,51
BOBBYCHANDLERR,Fearmonger,51
EVANNOTMCGREGOR,Fearmonger,51
TOMAS_DANE,Fearmonger,51
SHANNYZZZZ,Fearmonger,51
WILEYWORKOUT,Fearmonger,51
DWIGHTB0ND,Fearmonger,51
WILLLLIBROWN,RightTroll,51
AESPARZZA,HashtagGamer,51
D_ANDRE_AUSTIN_,Fearmonger,50
INA_MALONE,Fearmonger,50
DUSTINCOOOL,Fearmonger,50
ZZARACROSS,Fearmonger,50
ALEXISFOXIE,Fearmonger,50
JEREMIAH_JAH,Fearmonger,50
ERTMANGRETA,RightTroll,50
SOUND4BOYZ,Fearmonger,50
TEDSANDERSS,Fearmonger,50
JESSEHEATH86,Fearmonger,50
RAFESAYIED,RightTroll,49
ARTEMSSFE,RightTroll,49
PLAT0V,Unknown,49
SERENITYSANFOR,Unknown,49
SHAYLAGARRETTT,Unknown,49
ALW_ILL,RightTroll,49
DAM0NSPENCER,Fearmonger,49
ABIGAILCALLME,Unknown,49
JJ_WALSHJ,Fearmonger,49
GRACELILSTAR,RightTroll,49
RODDPHILLIPS,Fearmonger,48
ADRIANAMFTTT,RightTroll,48
WALTER_HEY,Fearmonger,48
JIMTHURMANN,Fearmonger,48
TRISTAN_RICHMAN,RightTroll,48
PHILLIPCARRR,Unknown,48
IBETYOUWILL,Unknown,48
ALMOSTSAINTGIRL,RightTroll,48
NEVER2MUCHBASS,Fearmonger,47
KENNETGREG,Unknown,47
ADELINE_GS,Unknown,47
COLLEEN_FRN,Unknown,47
AMALIAHULICK,Unknown,47
HEREANDTHERE_,Unknown,47
TAMMY_TAMH,Fearmonger,47
AUSTINLOVESBEER,RightTroll,47
DOYRANDO,Fearmonger,47
_GRANDMARCO,Unknown,47
ALFNEWDAY,Unknown,47
NATHAREID,Fearmonger,46
AAASSSSSHHH,Fearmonger,46
SSUS_PANTHER,RightTroll,46
ARIANNA_PER_RY,Fearmonger,46
KALIYAH_RRS,Unknown,46
AVEREGEANNA,LeftTroll,46
KATHYDITMAR,Fearmonger,46
JOSHCARSSON,Unknown,45
MEMYSELFHAILEY,Unknown,45
MITCH_LLLYNCH,Fearmonger,45
LNEVER_MINDL,Fearmonger,45
ORVILLEMOMMY,Unknown,45
EVELYNSHALL,Unknown,45
ANGISDOOYL,RightTroll,45
DYBAIGWEN,Fearmonger,44
CHRISTINACRISSS,RightTroll,44
KENDRAGRRR,RightTroll,44
GAB_ARTEA_G,Fearmonger,43
STRICTGRACE,Fearmonger,43
SOLANO_KI,Fearmonger,42
SIDNEY_RIV,Unknown,42
DANTE_FISH,RightTroll,42
LUKE_RUBIA,Fearmonger,42
GRAYS0NWILDE,Fearmonger,42
SUNSANB,Fearmonger,42
BLACKERTHEBERR5,LeftTroll,41
SARAH_GIACO,HashtagGamer,41
CHRIS_SOLO_RIO,Fearmonger,41
TERESA_BOY_LE,Fearmonger,41
PRUITT_LI,Fearmonger,41
ROB_COWMIL,Fearmonger,40
NORMAN_HOOPER,Fearmonger,40
LAURA_INSON,RightTroll,40
TERRYBEVER_LY,Fearmonger,40
CINDYBOBOBOB,Unknown,40
BILLMCINTOSHH,Unknown,40
TEDCHOCKHOLDER,Unknown,40
DD_MERR,Fearmonger,39
BLACKUNITYMARCH,LeftTroll,39
CHRISCHRISCHCH,Fearmonger,38
_LUKAS_BRIGGS_,RightTroll,38
BENJAMINBALLL,Fearmonger,38
EAZON_TRAP,Fearmonger,37
LANCE_FREED,Fearmonger,37
CECIL_HAYS,RightTroll,37
ERIKADIXONLOVE,LeftTroll,36
FLOYDSWENSON555,Fearmonger,36
FREEDISCUSS,RightTroll,35
ITSREALROBERT,Fearmonger,35
SCOTTRAPWALTON,Fearmonger,35
ELMERWAYNEE,Fearmonger,34
BERRNICTRR,RightTroll,33
MIC_REEZE,Fearmonger,33
ARISGRAYS,RightTroll,33
ARTHCLAUDIA,Fearmonger,32
AZIIZ_HADITH,Unknown,32
KEVINKEVSCOTT,Fearmonger,32
CHEESE_MONAY,RightTroll,29
NOTMYHERITAGE,LeftTroll,27
DARKNALLY,NewsFeed,26
MBROWNHERE,LeftTroll,26
EISSYT56T,RightTroll,26
ROBIN_MC_CALL,Fearmonger,26
GLOED_UP,LeftTroll,25
SHINEPHILLIPS,Fearmonger,25
RONALDALLLEN,Fearmonger,24
AU_NORTON,Unknown,24
ASWWIMMORRIS,RightTroll,23
YOLOBUHURTO,Unknown,22
APRRILSBRUSS,RightTroll,22
NEVICHENKO,Unknown,21
BLK_VOICE,LeftTroll,21
OWENYWADE,Unknown,20
FUUNCAKE,Unknown,19
BEN_SAR_GENT,RightTroll,19
RAUL_STON,Unknown,19
JUSSLILSTONER,LeftTroll,17
JOEDOLTON,Unknown,17
MAORBRIGHTIE,RightTroll,17
STOPBRUTAL,LeftTroll,15
ANGELISTRR,RightTroll,15
MONEYFORM,RightTroll,15
RIMAMUHAMMAD2,Unknown,15
666STEVEROGERS,Unknown,14
AMIRICANWILL,Unknown,14
JSHMRTNEZ,Fearmonger,12
NATATURN,LeftTroll,12
RYANESWEENEY_E,LeftTroll,9
TARAFORMA,Unknown,8
ANDREWHEDDD,RightTroll,8
FAIRYMINKY,Fearmonger,8
ALAXXATR,RightTroll,7
ALEXXDRTRR,RightTroll,7
SAMANTHAWOW,Unknown,6
MARIECARLLLOS,RightTroll,6
KHALEDBAKRI7,Unknown,6
ALANISSTRS,RightTroll,5
PIRELLIGINA,Unknown,5
WATSONTAYTAY,Unknown,5
TATIANAMAXTV,Unknown,4
KELVSOK,RightTroll,4
HICKEY_SETH,RightTroll,4
MARLA_XTIAN,Unknown,4
KATYHANSEN19,Unknown,4
MARIATRUMPT,RightTroll,4
TRUENEUTRAL0,Unknown,4
DAN_J_SHAFFER,Unknown,4
NKEERPEN,Unknown,4
JIHADONIGNRNC,LeftTroll,4
JOHAN_NIGEL,Unknown,4
STEPHANIETHEJAD,LeftTroll,4
COLJASON94,RightTroll,4
NEVERLIET0ME,NewsFeed,3
SHEENA_OTT,RightTroll,3
JASONIRINA1,Unknown,3
CHELSSJOHNT,RightTroll,3
SILENT_JENNA,Unknown,3
JOANNHARREL,Unknown,3
BRIISTATRRT,RightTroll,3
MUHMUHSAL1,Unknown,3
CHILOUTANDLEAVE,RightTroll,3
ABOUTPOLIT,LeftTroll,3
EVEGREENE88,LeftTroll,2
GAGYSOKEFUV,Fearmonger,2
JACKFAIRY1,RightTroll,2
LOLA_AYERS_,RightTroll,2
DEBORAH_NORRIS_,RightTroll,2
DEALWITHWEIRDOS,Unknown,2
HERON_ANDREA,Commercial,2
IJOHNKIMBLE,RightTroll,2
BLAKERIVERAI,Unknown,2
JAMALMUNAKE,LeftTroll,2
BEAUTYMERCELA,RightTroll,2
MILENAKROSS,Unknown,2
JASSMOORE11,Unknown,2
MAYS_ARIELLE,Unknown,2
FLAGFLANAGAN,Unknown,2
ALLBERRTOSS,RightTroll,2
ANDSBXX30,Unknown,2
IBRAHIMNOOH132,NewsFeed,2
AVRYLSTEWART,RightTroll,2
RIKKIRI1,Unknown,2
GLADADILA,Fearmonger,2
ANGEELISHET,RightTroll,2
BLACKGIRLS2017,LeftTroll,1
CIDUQUVN,Unknown,1
HMZAMAHMUDHAM,Unknown,1
MARIAKOKOSHKINA,Unknown,1
ROOFMIC,Unknown,1
LILY_LEW1,Unknown,1
PIMENOVMICHAEL,Unknown,1
NOREEGOLDMAN,Unknown,1
HABDARRAHMAN4,NewsFeed,1
ISABEL_STAFF,RightTroll,1
ERICAANDSSN,Unknown,1
2NDHALFONION,RightTroll,1
EMILLLYSTRU,RightTroll,1
STEPEFIMOV,Unknown,1
NEWS24EN,NewsFeed,1
ABMERRLINS,RightTroll,1
MARTYNOV_NIK,Unknown,1
HAMZA24MOHAMME1,NewsFeed,1
GARRETTHESHADOW,RightTroll,1
ALESISTRTT,RightTroll,0
TZENIWURAOLA,Unknown,0
GURGENALEEN,Unknown,0
LAUREL_LORENS,Unknown,0
MAYERS_STEFANY,Unknown,0
ALESSIAWILLSON,RightTroll,0
VIOLAASTRT,RightTroll,0
ALEMICHLESS,RightTroll,0
VINZEYUSS,Unknown,0
BEELLASTRTT,RightTroll,0
VIADSNTR,RightTroll,0
LAURENBURTONS,Unknown,0
ALEESATRS,RightTroll,0
AGNESSTRYT,RightTroll,0
ALAXXATRT,RightTroll,0
ALBELITATRTS,RightTroll,0
BONIIISTP,RightTroll,0
ADLEESTTT,RightTroll,0
AGNESMLTRT,RightTroll,0
SCARLETTHOWAR15,RightTroll,0
SAVAJENAT,RightTroll,0
NATTATRT,RightTroll,0
NEGROKEEDY,Unknown,0
HALIALHASHIMI,NewsFeed,0
NEWYAHSHUAH,Unknown,0
MUSAABJUVYLYN,Unknown,0
MUPU26,Unknown,0
AARON_M1TCHELL,Fearmonger,0
ABBYLOPTRT,RightTroll,0
MUHAMMADHUSS69,Unknown,0
HAMIDMANSOOR123,NewsFeed,0
ABISADMASST,RightTroll,0
ELLISSTRT,RightTroll,0
ACHSAHORKHAN,Unknown,0
MORRGASSSTR,RightTroll,0
ADALESTRTM,RightTroll,0
SCARLEESTRUT,RightTroll,0
DNT_SHOOT,LeftTroll,0
ADELIINESTRT,RightTroll,0
OI_DICKO,Unknown,0
EVASSLTRT,RightTroll,0
ADELISTRTT,RightTroll,0
DEON_LIEW,Unknown,0
ADLEESWOD,RightTroll,0
WHATSUPPPADAMS,Unknown,0
WAZEME_ZINA,LeftTroll,0
AGAINUKRFAKE,Unknown,0
PARKISALN,RightTroll,0
HANNAHALLL,Unknown,0
JAAMISSTR,RightTroll,0
MALIKALMURAD12,Unknown,0
STASCYTR,RightTroll,0
CDAVISA20,RightTroll,0
KIRILLANDY,Unknown,0
MADIADATRT,RightTroll,0
MAKAYLABUTLER13,RightTroll,0
ARIELLE_BROWNIN,Unknown,0
RACHLEESTRMT,RightTroll,0
SEREESSTT,RightTroll,0
CHAYKA_CHELSEY,Unknown,0
BAMBISMUT,RightTroll,0
PUNNAYOANDRA,Unknown,0
HARRYLEVVIS,Unknown,0
SYLVIE1FREEMAN,Unknown,0
APRIILDTRUT,RightTroll,0
RAYLEENNEELAM,Unknown,0
RAYMAN_ANDY,Unknown,0
CARREDTRT,RightTroll,0
GASOLINEBECKER,RightTroll,0
LUSCBELYST,RightTroll,0
REBEESLYSS,RightTroll,0
CAMILLITIXTOPS,RightTroll,0
RELIISTRT,RightTroll,0
SPARKSDANS,Unknown,0
LUCEELYSTOP,Unknown,0
AVEERTEST,RightTroll,0
BROOZLEETR,RightTroll,0
SOSNOVSKYANNA,Unknown,0
LOSSDAYTR,RightTroll,0
KOTZZZLOVRED,Unknown,0
SKYYLASRRT,RightTroll,0
BAAILST,RightTroll,0
CHHOLESSSTR,RightTroll,0
HISLAATRM,RightTroll,0
MANDDSYSGOSS,RightTroll,0
AMBERDAVV,Unknown,0
FAKEVIDEO17,Unknown,0
DANNIILST,RightTroll,0
GREGFRANKLIN030,Unknown,0
TRINITTXS,RightTroll,0
DALLAS4COPS,RightTroll,0
CTHUNO,Unknown,0
CORNELLJULIEAN2,Unknown,0
MARLENIZZTRT,RightTroll,0
HAYDELYYST,RightTroll,0
ILSOLOVYOV,Unknown,0
MARIRLTR,RightTroll,0
LAREELIZT,RightTroll,0
AMBAASTRT,RightTroll,0
AMBBERTHTT,RightTroll,0
GREENMONIKA6,Unknown,0
CHISTISSST,RightTroll,0
LILYYTYY,RightTroll,0
AMYYSSTS,RightTroll,0
AMYYTHOSSMA,RightTroll,0
ANEELSSTRT,RightTroll,0
THAASLITT,RightTroll,0
HARERETRT,RightTroll,0
PIPERTRTR,RightTroll,0
ROSSRICHRDS,Unknown,0
KAYYLYSST,RightTroll,0
HUMPHREYALESSIA,RightTroll,0
TAYYSSTRUT,RightTroll,0
LAMARMUTANT,Unknown,0
LIZZBETTRR,RightTroll,0
FREEJEROMESMITH,LeftTroll,0
LEIMILLERS,RightTroll,0
