author,account_category,tweets
VANESSA_A_LOTT,RightTroll,107
AN_N_GASTON,RightTroll,107
SHIELDSCLINT,RightTroll,106
BLACK_ELEVATION,LeftTroll,106
DONATELLOJACK,RightTroll,105
BERT_HENLEY,Unknown,105
JORDANSHELTONW,HashtagGamer,105
MEMYSELFHAILEY,Unknown,105
JAWORSKIKATRINA,RightTroll,104
DJKATKATKATIE,RightTroll,104
BLACKERTHEBERR5,LeftTroll,104
MEGGIEMCKENZIE,HashtagGamer,104
ARTHCLAUDIA,Fearmonger,103
PORTER_2TYPE,RightTroll,103
JJ_WALSHJ,Fearmonger,102
KELVSOK,RightTroll,101
ALBERTA_HAYNESS,RightTroll,101
ELEVEN_GOP,RightTroll,101
ITSREALROBERT,Fearmonger,100
ROBERTHUGHESS,LeftTroll,100
ADRIANAMFTTT,RightTroll,99
GUIDILILLIE,RightTroll,99
LOLAPYKE,RightTroll,99
CRYSTAL_JOHNS0N,LeftTroll,99
COMEANDGETITAAW,Unknown,98
ZOLLIELEMON,RightTroll,97
ROSSHELLYEAH,RightTroll,97
JACKKRASSEN,LeftTroll,96
ITSMONAMUUA,Fearmonger,96
STEPSTEP_HEN,RightTroll,96
BENJAMINBALLL,Fearmonger,96
CHEESE_MONAY,RightTroll,95
STOPBRUTAL,LeftTroll,95
J_CL_K,Unknown,95
SHANNYZZZZ,Fearmonger,95
POWER_4LIFE,RightTroll,93
ANTHONYWOODBOY,RightTroll,93
ARIELSHINING,RightTroll,93
SHANNONGIBSONIM,Fearmonger,93
POLIT_OBSERVER,NewsFeed,93
ALMOSTSAINTGIRL,RightTroll,93
VICKYLOVELYG,RightTroll,93
TONYLYNNNNN,RightTroll,92
STRICTGRACE,Fearmonger,92
AYANNA__0,RightTroll,92
ALEXWARNINGU,RightTroll,92
TAYLOR_PARKSY,Unknown,91
ASHLEYSIMPSN,HashtagGamer,90
COLLY_MICK,RightTroll,90
GODH8SBIGOTS,LeftTroll,90
KATTYYGEORGE,RightTroll,89
MMORENOK,RightTroll,89
BLK_VOICE,LeftTroll,89
DONNIMUSIL,RightTroll,88
ADKEZLATE,HashtagGamer,88
OMAR_MANSURI_1,LeftTroll,88
SIDNEY_RIV,Unknown,88
KEVINKEVSCOTT,Fearmonger,88
POL_WARRIOR,RightTroll,87
LILLYBOGGS,RightTroll,87
CECIL_HAYS,RightTroll,86
AMALIA_PETTY,RightTroll,86
FANNIEBRADLEY88,Fearmonger,85
VICKYROOOY,RightTroll,84
AMAMCAMCAM,RightTroll,84
LOVELYBEE_ME,Unknown,84
LOU_GALLOWAY,Fearmonger,84
SOUND4BOYZ,Fearmonger,84
INA_MALONE,Fearmonger,84
CAMERONJJJ11,RightTroll,83
RIKASBAR,RightTroll,83
DORARATCHET,RightTroll,83
KISSKISSDEB,Fearmonger,83
JOYCE_JACKSON18,LeftTroll,83
KIRBYTHEFAMOUS,Fearmonger,83
AVEREGEANNA,LeftTroll,83
PHILLYOTERO,RightTroll,82
AFIFYAMIRA1,LeftTroll,82
PETAROBBIE,RightTroll,81
TT__NORTON,Unknown,81
JAYNELLSELTZER,RightTroll,81
ANGEELISHET,RightTroll,81
NATPOLNEWS,RightTroll,81
CINDYBOBOBOB,Unknown,81
ALIZASSHIELD,RightTroll,80
TAMI8569,Fearmonger,80
ARIELLE_BROWNIN,Unknown,80
BRONICKIJEWEL,RightTroll,80
GAYLEHAPPYMOM,RightTroll,80
BENJIALYSSA,LeftTroll,80
MEOFTHEWORLD,RightTroll,80
DARLENEKING_,RightTroll,79
JAIME_BOOO,LeftTroll,79
LANCE_FREED,Fearmonger,79
ATIF_SHAIKH_ME,LeftTroll,79
WILLJOHNYOLO,LeftTroll,78
TERRIISTOOGOOD,RightTroll,78
ALEXISFOXIE,Fearmonger,78
SABSABRIBA,Unknown,78
DALIKWESHA,LeftTroll,77
ESSIEBAILEY_,Unknown,77
BENDER_MEL,RightTroll,77
GUY_WHOMAKEIT,Fearmonger,77
LORRY_COU,LeftTroll,77
JIMTHURMANN,Fearmonger,76
KEVINNOTBROOKS,RightTroll,76
ORIGINOFKATY,Fearmonger,75
SOLER_MCH,Unknown,75
TERRYBEVER_LY,Fearmonger,75
BLACKYCLEVELAND,LeftTroll,74
CHRIS_SOLO_RIO,Fearmonger,74
WARRIORS_AZTLAN,LeftTroll,74
PETER_DOWNS_UP,Fearmonger,74
CAR_REMS,RightTroll,74
KENN_VILLA,RightTroll,73
DEBORAH_NORRIS_,RightTroll,73
BLACK4UNITY,LeftTroll,73
LIZAHASJUST,RightTroll,72
DANBR00KS,HashtagGamer,72
RHODYROLLIN,RightTroll,72
JESSEHEATH86,Fearmonger,72
KIRSTIEMNR,RightTroll,72
ABOUTPOLIT,LeftTroll,72
AAASSSSSHHH,Fearmonger,71
PARISGAAAAAY,LeftTroll,70
CYRUSWORLEY,HashtagGamer,70
_RONBEN,RightTroll,70
ABIGAILCALLME,Unknown,70
EVANNOTMCGREGOR,Fearmonger,70
ANN_HANAH,RightTroll,70
MITCH_LLLYNCH,Fearmonger,69
CAITLINMILLSYUP,Fearmonger,69
GWEN_GARLAND,Fearmonger,69
_SHERYLGILBERT,RightTroll,69
JENNAJENNKINS,Unknown,68
IWOMAMYBB,LeftTroll,68
EVELYNSHALL,Unknown,68
ROB_COWMIL,Fearmonger,67
PABLOOPATTON,Unknown,67
MABLE_LANDRY,LeftTroll,67
JULIANNA_YES,Fearmonger,66
BBHELGESON,RightTroll,66
IVEY_MEXX,Fearmonger,65
CARLOS_HNES,RightTroll,65
BOBBYCHANDLERR,Fearmonger,64
ZION_FRAZIER,RightTroll,64
JEREMIAH_JAH,Fearmonger,63
SAMMYDIXXXON,Unknown,63
SPUNTMELODY,Fearmonger,63
KALVINNUTZZZ,LeftTroll,63
DELORESP00LE,RightTroll,63
4EVER_SUSAN,RightTroll,63
ANITALOVEHEART,RightTroll,62
FUNAT1C,HashtagGamer,62
PAMELLAMAYBANK,Unknown,62
AMIRAHPOPE,LeftTroll,62
ERNASHEPHARD,Unknown,62
JANELOUISMILLER,Unknown,62
JOHNNYBLACK91,HashtagGamer,61
ELLAWONDERGIRL,RightTroll,61
CAMILEISDAMNHOT,RightTroll,61
SHEENA_RING,Fearmonger,61
AHOGAN_AM,LeftTroll,61
MIC_REEZE,Fearmonger,61
DANA_GARNER_ME,Fearmonger,61
RACHELRAY1203,Fearmonger,60
KYLIEMUSICIAN,RightTroll,60
WILEYWORKOUT,Fearmonger,60
ROCKITJAN,Fearmonger,60
LUKE_RUBIA,Fearmonger,60
MARTINAFFF,RightTroll,60
T0NY_0BRIEN,RightTroll,59
DAM0NSPENCER,Fearmonger,59
GRACIE_____55,Unknown,59
CARREDTRT,RightTroll,59
KYLEBURRIT0,RightTroll,58
TOURETTESN,Unknown,58
KARL_SUMMERS,Fearmonger,58
RONALDALLLEN,Fearmonger,57
DONALDOUCH,LeftTroll,57
TATIANAMAXTV,Unknown,57
TOMMYWATTSSS,RightTroll,56
BAYOFTAMARA,RightTroll,56
KYLES0CCER,RightTroll,55
MARGIE__G,RightTroll,55
IRENEMCCANTS,RightTroll,55
FACEMECHASE,RightTroll,55
BOBSDYER,HashtagGamer,55
NOAKSALVAN,Unknown,54
CALVIN_YEK,Fearmonger,54
PAMPAMONEIL,RightTroll,54
FREIDA_HW,LeftTroll,54
BROOKEDOZZIER,RightTroll,54
ADRI_LOW_R,LeftTroll,53
JAYCOBBRI,RightTroll,53
DUSTINCOOOL,Fearmonger,53
ORVILLEMOMMY,Unknown,53
SM_DOWNEY,RightTroll,52
JOHNS_GAVIN_,Fearmonger,52
WHOCARES423,RightTroll,52
NISANURCERAN20,LeftTroll,52
RODDPHILLIPS,Fearmonger,52
JAMHARRIS_,RightTroll,51
SOFIATACKLES,LeftTroll,51
MARIAHROOOSE,RightTroll,51
OLLLLL_LLLLIE,RightTroll,51
TESSSFINN,RightTroll,51
JEFFYDANIELS,RightTroll,51
CALEBROBBNS,RightTroll,51
HARRYMAGICIAN_,RightTroll,50
JYOTIRDHARREDDY,RightTroll,50
BONDTONYB0ND,RightTroll,50
DOUGGIEMAESTAS,RightTroll,50
BEINGSWARTZ,RightTroll,50
CHARLENE_TIMMO,RightTroll,49
RYANAMBISHOP,RightTroll,49
CH1ESTHER,LeftTroll,49
AMYMUSICLL,RightTroll,49
PEYRIDLEY,RightTroll,49
FUKKKKHERR,RightTroll,49
BLACKPANTHER_TX,LeftTroll,48
SAMCHATMANNN,Fearmonger,48
FISHERRRCALEB,RightTroll,48
ANDREWHEDDD,RightTroll,48
ASHLEY_KRI,RightTroll,47
PENNYSIMM,RightTroll,47
DADDILAZARUS,RightTroll,47
GARRET_CANDICE,RightTroll,47
T0NYACRAWFORD,RightTroll,47
RYAN_BET,RightTroll,47
SUTTON_TWEET,RightTroll,47
JAREDNOTLETO,HashtagGamer,47
SHERMAN_CN,Fearmonger,47
AMELCREECH,RightTroll,46
LESSMCPH,RightTroll,46
NATHALYAPODACA,RightTroll,46
D_ANDRE_AUSTIN_,Fearmonger,46
IAMMONICABABY,RightTroll,46
HERNAMEWASNANCY,Unknown,46
CARLOSSAMANOS,RightTroll,46
MAGICMAGICWAND,RightTroll,46
AFUCKINSIDE,HashtagGamer,46
BENNEDICT_KL,RightTroll,46
MATISQUAREPANTS,Unknown,46
SOUTHLONESTAR2,RightTroll,45
DIAB0LO,HashtagGamer,45
DEVIN_YAT,RightTroll,45
ZHI_YUE_,RightTroll,45
ADAM_MATHISSS,RightTroll,45
WEWANTFREEDOMNY,LeftTroll,44
HERBERT_BACON,RightTroll,44
NATH_ALMA_Z,RightTroll,44
1D_NICOLE_,Fearmonger,44
JEFFREYRAYMAY,LeftTroll,44
ANFRAIZER,RightTroll,44
DUNNOWHOWANNABE,RightTroll,43
FUNKY_KAY1,RightTroll,43
WILLIE_BIGN,Fearmonger,43
LUCKY_LEM0N,RightTroll,43
RITTERTRA,Fearmonger,43
KL_SPEN,RightTroll,43
ALW_ILL,RightTroll,43
LARAPALMER23,LeftTroll,43
RUN_N_WIN,RightTroll,42
_LUKAS_BRIGGS_,RightTroll,42
SARAHTHHHH,Fearmonger,42
CIARALOVEVE,Unknown,41
SAVYHURT,RightTroll,41
MAHAFFEYSUSANN,Unknown,41
HONEYBOBOOBOO,RightTroll,41
CHRIS_SIS_SIS,LeftTroll,41
HIIMJOEBRYANT,RightTroll,41
RAGLAND_LAND,Fearmonger,41
AMIRICANWILL,Unknown,40
ETTA_JHNS,Unknown,40
KENNYGRATHAM,Fearmonger,40
KELBATT,Fearmonger,40
BERGERJAMIE75,RightTroll,40
CARSONYEARLY,RightTroll,40
BELBELLOC,RightTroll,40
ABELLABAB,LeftTroll,40
JWOODS_MAN,RightTroll,40
KATHYDITMAR,Fearmonger,39
KRISTIN_MARSH_,RightTroll,39
CHRISCHRISCHCH,Fearmonger,39
ASHLEECOLLINSS,Unknown,39
GEOREVIEWEUROPE,RightTroll,39
MILAGROSVEVE,Unknown,39
DONNIE_HERO_,RightTroll,38
ANITABR1994,RightTroll,38
ARNOLDPARRK,Fearmonger,38
DEREKKGREGORY,RightTroll,38
CHEYENNE_ENG,RightTroll,37
ESTERBRIANG,Fearmonger,37
HOWMARCELLA,LeftTroll,37
TAN_BRAY,RightTroll,37
TERRANCEPATIENT,LeftTroll,37
FREDYTHECREATOR,Fearmonger,37
GREINTRINA,LeftTroll,37
SHUMITZUYOLO,Unknown,36
_SOLOMONALBERT_,LeftTroll,36
CATKELLEY_,RightTroll,36
ALESSIAWILLSON,RightTroll,36
RUSSODECLAN,RightTroll,35
NEWS24EN,NewsFeed,35
NEVER2MUCHBASS,Fearmonger,35
RONICK_KK,RightTroll,35
LORENAISHOT,Unknown,35
SHAYLAGARRETTT,Unknown,35
LIZ_ZAL_,Unknown,35
ROBYNRHODE,Unknown,35
DEL_MCQUARRIE,RightTroll,34
FRANCESCADIAM,RightTroll,34
SHEILA_SHH,Fearmonger,34
DER_RICKA,LeftTroll,34
TYPICALMURICA,Unknown,34
ANG__BOWERS,RightTroll,34
PHILLIPCARRR,Unknown,33
ANGELOENOUGH,RightTroll,33
ANTHONYCARTR,LeftTroll,33
CALVIN_BARN,RightTroll,33
MALKA_ESSS,Unknown,33
BETTERTHANYOU_U,RightTroll,33
BARELY_KIM,Unknown,33
DEREKDEREKCL,RightTroll,33
CONSUELABRUNAZ1,RightTroll,32
JAYBRND,RightTroll,32
METSTHEBEST,RightTroll,32
LAWRENCEDDDD,RightTroll,32
MAD_BENJAMI,Unknown,32
ODANNY_THEBOY,RightTroll,31
BRIANNA_DENTON_,RightTroll,31
BAKINGBEKKER,RightTroll,31
CUNEODOLORES,LeftTroll,31
WALTER_HEY,Fearmonger,31
WADEBINTOU,LeftTroll,31
FRIEDADAISY,RightTroll,30
STAYWOKE88,LeftTroll,30
MEREDITHWOHL,RightTroll,29
BRANDIHAGROVE,RightTroll,29
WINST_MARTIN,Unknown,29
MARIO_CO_WAY,LeftTroll,29
SEANROY1984,RightTroll,28
ALLFORPETERSONS,LeftTroll,28
KARLGOLDEARL,RightTroll,28
SAYHERNAME16,LeftTroll,28
ARIANNA_PER_RY,Fearmonger,28
SPENDING_GOV,RightTroll,28
SAVECOOPER,LeftTroll,28
CECILDUKES,RightTroll,27
PATRICK_CLAYN,LeftTroll,27
FUUNCAKE,Unknown,27
ADELINE_GS,Unknown,27
MELISSAYESIAM,Fearmonger,26
NATHAREID,Fearmonger,26
BE_BRUTA_L,LeftTroll,26
ANTHONYCANLASS,HashtagGamer,26
ANFINRUDSADIE,RightTroll,26
SHERMUELLER,RightTroll,26
ERNESTINEEALVAR,LeftTroll,26
HOOPERIDA_,Unknown,26
COLLEEN_FRN,Unknown,26
JUSTICE_4_JAMAR,LeftTroll,26
RAFESAYIED,RightTroll,25
TAMAFLAN,RightTroll,25
JOSEFASPANG,LeftTroll,25
ALFREDBENBEN,RightTroll,25
JEROMYJEROM,RightTroll,25
LEACH_4U,Unknown,25
CASSONDRATRUDE1,RightTroll,25
HENRIQUEZ_A2,RightTroll,24
KAYY_CURTIS,RightTroll,24
ELISAAGREG,RightTroll,24
DWIGHTB0ND,Fearmonger,24
VANWHITEBIRCHN,RightTroll,24
ALEXLOVESSHENNA,RightTroll,24
YOLOBUHURTO,Unknown,24
ABRAMSREBEKAH,Unknown,24
IM_MADELINE_,RightTroll,24
SERENITYSANFOR,Unknown,24
TOMAS_DANE,Fearmonger,23
AYDENBOSTON,LeftTroll,23
BERTHADAVIDSON_,Unknown,23
NOTHING8SPECIAL,RightTroll,23
SECRETREPORTT,RightTroll,23
SHANIA_TONEY,LeftTroll,23
RENALDOKYROU,RightTroll,23
ONELOVEUNICORNS,Unknown,23
RICHARDMALMAL,RightTroll,22
LEBLANCPETER_,RightTroll,22
BRITTANYLANE_1,RightTroll,22
CAM_EVSSS,LeftTroll,22
AMIRAFERRR,Unknown,22
LOGANLOGANSS,Fearmonger,21
WILLLLIBROWN,RightTroll,21
BALLLLWALT,HashtagGamer,21
G__AHARON,RightTroll,21
JUSTICE4TAMIR_,LeftTroll,21
KRISTEEN_BROWN,Unknown,20
PHILLIP_CHRIS10,RightTroll,20
KALIYAH_RRS,Unknown,20
MATTHEW1STACEY,RightTroll,19
WECONQUERWORLD,RightTroll,19
REALWATERLILYY,Unknown,19
SUSANPETERSON_,Fearmonger,19
SCOTTRAPWALTON,Fearmonger,19
KARI_DODSON,LeftTroll,19
CLAY_NELS,LeftTroll,19
FLISSFLOWERS,Unknown,19
TRUENEUTRAL0,Unknown,18
JESSEJYM,Unknown,18
STEPHANIETHEJAD,LeftTroll,18
JOHNMORGG,RightTroll,18
JONATHANDOTNET,LeftTroll,18
JOSHUA_WOLFY,LeftTroll,18
DANIELLETAWN,RightTroll,18
TX_INDEPENDENCE,RightTroll,18
TYLERBUCKBUCK,LeftTroll,18
AARONALLENALL,Fearmonger,18
MIAONSEA,RightTroll,18
PLSCALLMEABBY,Unknown,18
MOJOYOMAN,RightTroll,17
JACKIECOWBOY,LeftTroll,17
PEYTONM0DEL,RightTroll,17
JIMWAZZUP,LeftTroll,17
SEREESSTT,RightTroll,17
DREEEEW1HUDS,RightTroll,17
GOTRICIAG,RightTroll,17
NOT_MYHERITAGE,LeftTroll,16
MARGARITASHIRAZ,RightTroll,16
BESSIECOOKSYOU,RightTroll,16
ELMERWAYNEE,Fearmonger,16
IJOHNKIMBLE,RightTroll,16
JULIASEXYBECK,RightTroll,16
CLAIRE_COURT_,RightTroll,16
JIHADONIGNRNC,LeftTroll,15
DEELOCKMAN,RightTroll,15
YOURLOVELYCAROL,RightTroll,15
MUHMUHSAL1,Unknown,15
LGBTRALLY,LeftTroll,15
HUMPHREYALESSIA,RightTroll,15
IBOCASID,Unknown,15
ERIKADIXONLOVE,LeftTroll,15
_GRANDMARCO,Unknown,14
BELINDA_BOURG,Unknown,14
PITTSESTE,RightTroll,14
JAS_BAC,LeftTroll,14
BLAMEYOURRSELF,HashtagGamer,14
DANIE_LLE_H,RightTroll,14
GARRETTHESHADOW,RightTroll,14
LAURA_INSON,RightTroll,13
JOEDOLTON,Unknown,13
GREG_GREGG_,LeftTroll,13
MARKOSVINES,LeftTroll,13
PEEONHILLARY,RightTroll,13
DNT_SHOOT,LeftTroll,13
CHILOUTANDLEAVE,RightTroll,13
HAMZA24MOHAMME1,NewsFeed,13
THEGRANDTAYLOR,RightTroll,13
AN_NA__AN,RightTroll,13
ROSSRICHRDS,Unknown,13
HABDARRAHMAN4,NewsFeed,13
BACONTONIA,RightTroll,12
SONJAANDBRIDGES,LeftTroll,12
JACKFAIRY1,RightTroll,12
CHARLESDAILEY87,Unknown,12
JONACOLLETTE,HashtagGamer,12
DANTE_FISH,RightTroll,12
JUSSLILSTONER,LeftTroll,12
BARRY_MILL,LeftTroll,12
TRISTAN_RICHMAN,RightTroll,12
DAN_SEL_LERS,Fearmonger,12
JOHNBENBENTON,LeftTroll,12
GASOLINEBECKER,RightTroll,12
PERSSONSANDY,LeftTroll,12
RALLYCHARLESTON,LeftTroll,12
OHREALLYASHLEY,RightTroll,11
TZENIWURAOLA,Unknown,11
JAMIE_DIVER_,Unknown,11
HMZAMAHMUDHAM,Unknown,11
TONYWILLDO,Unknown,11
HAMIDMANSOOR123,NewsFeed,11
PIRELLIGINA,Unknown,11
MARIAKOKOSHKINA,Unknown,11
OHOHAHAS,RightTroll,11
BEGAYEVANGELINE,RightTroll,11
DEALWITHWEIRDOS,Unknown,11
KAYYLYSST,RightTroll,11
SARAH_GIACO,HashtagGamer,11
SAMANTHAWOW,Unknown,11
FLAGFLANAGAN,Unknown,11
GINNAGINNAA,RightTroll,11
BARBIELEWISS,RightTroll,11
KENNETGREG,Unknown,10
GEORGE_BENTLEY_,RightTroll,10
FRANCLANDEROS,HashtagGamer,10
PIMENOVMICHAEL,Unknown,10
STEPEFIMOV,Unknown,10
EVEGREENE88,LeftTroll,10
JASSMOORE11,Unknown,10
NKEERPEN,Unknown,10
DARRELL_H_HUNT,RightTroll,10
WATSONTAYTAY,Unknown,10
IBRAHIMNOOH132,NewsFeed,10
ITSDEREKMOR,Unknown,10
ANDSBXX30,Unknown,10
MALIKALMURAD12,Unknown,10
CHERRYCHERYLFIN,Unknown,9
CHEONGMAI,Fearmonger,9
LAUREL_LORENS,Unknown,9
AVRYLSTEWART,RightTroll,9
LESLIE_FAULK,HashtagGamer,9
LL0YDTHEKING,RightTroll,9
MUHAMMADHUSS69,Unknown,9
CORNERGLOVES,RightTroll,9
HICKEY_SETH,RightTroll,9
NOTMYHERITAGE,LeftTroll,9
DAN_J_SHAFFER,Unknown,9
IRONSMIRANDA,Unknown,9
KATYHANSEN19,Unknown,9
AESPARZZA,HashtagGamer,9
HANNAHALLL,Unknown,9
JOHAN_NIGEL,Unknown,9
HALIALHASHIMI,NewsFeed,9
JOANNHARREL,Unknown,9
PUNNAYOANDRA,Unknown,9
MARLA_XTIAN,Unknown,9
VICTORIAMAXIMUS,Unknown,8
BILLMCINTOSHH,Unknown,8
STANLEY_SPIVEY,Unknown,8
JUSTICE4ALTON,LeftTroll,8
COLJASON94,RightTroll,8
PARTYFORPATTY,RightTroll,8
MAYS_ARIELLE,Unknown,8
MARIECARLLLOS,RightTroll,8
SOSNOVSKYANNA,Unknown,8
WHATSUPPPADAMS,Unknown,8
ARYANNAJ0NES,HashtagGamer,8
MARIAOFSTEEL,LeftTroll,8
CIDUQUVN,Unknown,8
BAMBISMUT,RightTroll,8
BONIIISTP,RightTroll,8
TEDCOOLASHELL,Unknown,8
MAYERS_STEFANY,Unknown,8
MUSAABJUVYLYN,Unknown,8
LILY_LEW1,Unknown,8
SILENT_JENNA,Unknown,7
RAYMAN_ANDY,Unknown,7
AMBERDAVV,Unknown,7
CODYRANDAL1,RightTroll,7
REBEESLYSS,RightTroll,7
TEDSANDERSS,Fearmonger,7
MARYCARRY92,Unknown,7
OI_DICKO,Unknown,7
OLIWAALERT,Unknown,7
ABISADMASST,RightTroll,7
SCARLEESTRUT,RightTroll,7
KIRILLANDY,Unknown,7
HAYDELYYST,RightTroll,7
GREGFRANKLIN030,Unknown,7
LITTLEBETTYY,Unknown,7
CHAYKA_CHELSEY,Unknown,7
BLACKGIRLS2017,LeftTroll,7
ELIASAKAPARKER,Unknown,7
CHRIS_SHARP_II,Unknown,7
ADELIINESTRT,RightTroll,7
MARTYNOV_NIK,Unknown,7
SYLVIE1FREEMAN,Unknown,7
BYERS_WAY,Unknown,7
JASONIRINA1,Unknown,7
ROOFMIC,Unknown,7
ADELISTRTT,RightTroll,7
LAURENBURTONS,Unknown,6
RACHLEESTRMT,RightTroll,6
AMYYTHOSSMA,RightTroll,6
ALESISTRTT,RightTroll,6
AMBAASTRT,RightTroll,6
MARIRLTR,RightTroll,6
DENISEDENNDEN,Fearmonger,6
ADLEESWOD,RightTroll,6
SAVAJENAT,RightTroll,6
CARMELMELLER,RightTroll,6
NIGHTGETSLONGER,Unknown,6
CORNELLJULIEAN2,Unknown,6
NOREEGOLDMAN,Unknown,6
JOSHCARSSON,Unknown,6
CHHOLESSSTR,RightTroll,6
ZAKIALQADIR,Unknown,6
HUNGRYCELIA,Unknown,6
CAMILLITIXTOPS,RightTroll,6
STASCYTR,RightTroll,6
LEIMILLERS,RightTroll,6
ALEESATRS,RightTroll,6
ILSOLOVYOV,Unknown,6
VIADSNTR,RightTroll,6
AGNESSTRYT,RightTroll,6
HISLAATRM,RightTroll,6
TAYYSSTRUT,RightTroll,6
BLAKERIVERAI,Unknown,6
THAASLITT,RightTroll,6
JAMALMUNAKE,LeftTroll,6
ALAXXATRT,RightTroll,6
BEELLASTRTT,RightTroll,6
PARKISALN,RightTroll,6
LIZZBETTRR,RightTroll,6
NATTATRT,RightTroll,6
RELIISTRT,RightTroll,6
BROOZLEETR,RightTroll,6
MADIADATRT,RightTroll,6
HARERETRT,RightTroll,6
MILENAKROSS,Unknown,6
LILYYTYY,RightTroll,6
ALBELITATRTS,RightTroll,6
ARMEDFREJYA,RightTroll,6
CTHUNO,Unknown,6
AVEERTEST,RightTroll,6
SOSEANBEARD,RightTroll,5
ERICKWALTT,HashtagGamer,5
TEDCHOCKHOLDER,Unknown,5
APRIILDTRUT,RightTroll,5
JAAMISSTR,RightTroll,5
YOUKNOWJILLIAN,Unknown,5
ERICAANDSSN,Unknown,5
AMALIAHULICK,Unknown,5
VIOLAASTRT,RightTroll,5
NOMO_TUNES,Unknown,5
ROCKINMAFAME,HashtagGamer,5
RIVKALANGE,Unknown,5
GREENMONIKA6,Unknown,5
ACHSAHORKHAN,Unknown,5
DELVECCHIOJ1,Unknown,5
LOSSDAYTR,RightTroll,5
SPARKSDANS,Unknown,4
LIN1DIRECTION,Unknown,4
CASIE_LANG,Unknown,4
AARON_M1TCHELL,Fearmonger,4
ELLISSTRT,RightTroll,4
JOSHUASPENCE88,Unknown,4
JERALDWOOW,Unknown,4
MORRGASSSTR,RightTroll,4
JIMYLEVY,Unknown,4
TONY_MAY_,Unknown,4
AZIIZ_HADITH,Unknown,4
MANDDSYSGOSS,RightTroll,4
RIKKIRI1,Unknown,4
DARNELLMATHISS,Unknown,4
NEGROKEEDY,Unknown,3
PLAT0V,Unknown,3
2NDHALFONION,RightTroll,3
BLACKUNITYMARCH,LeftTroll,3
MARLENIZZTRT,RightTroll,3
PATRIOT_ARCHIVE,RightTroll,3
ADLEESTTT,RightTroll,3
EVASSLTRT,RightTroll,3
AGAINUKRFAKE,Unknown,3
RYANESWEENEY_E,LeftTroll,3
AGNESMLTRT,RightTroll,3
CDAVISA20,RightTroll,3
TARAFORMA,Unknown,3
BAAILST,RightTroll,3
DANNIILST,RightTroll,3
ABBYLOPTRT,RightTroll,3
TRINITTXS,RightTroll,3
HARRYLEVVIS,Unknown,3
DOMM_CLAYTON,Unknown,3
OWENYWADE,Unknown,3
MUPU26,Unknown,3
IBETYOUWILL,Unknown,3
LUSCBELYST,RightTroll,3
JENNINGSL524,Unknown,3
CHISTISSST,RightTroll,3
NEWYAHSHUAH,Unknown,3
ADALESTRTM,RightTroll,3
LAREELIZT,RightTroll,3
ALEMICHLESS,RightTroll,3
PIPERTRTR,RightTroll,3
ANEELSSTRT,RightTroll,3
AMYYSSTS,RightTroll,3
ILANPRICEUSA,Unknown,3
NOTYOURLILLY,Unknown,3
WAZEME_ZINA,LeftTroll,3
EDLEYIMOGENE,RightTroll,3
IRA_COMBOMB,LeftTroll,3
MAKAYLABUTLER13,RightTroll,3
SKYYLASRRT,RightTroll,3
ELBERTBOOM,Unknown,2
FAKEVIDEO17,Unknown,2
KELVINKELKELVIN,RightTroll,2
VINZEYUSS,Unknown,2
RAYLEENNEELAM,Unknown,2
GURGENALEEN,Unknown,2
DALLAS4COPS,RightTroll,2
JUSTICE4JAMAR_,LeftTroll,2
GLOED_UP,LeftTroll,2
TEBEPIZDEC,Unknown,2
RIMAMUHAMMAD2,Unknown,2
FREEJEROMESMITH,LeftTroll,2
RYANNCOOPERWOOD,Fearmonger,2
ALFNEWDAY,Unknown,2
MISTERBRIDGES_,Unknown,2
1ERIK_LEE,RightTroll,2
BRENT_KENDRICK,Unknown,2
HEREANDTHERE_,Unknown,1
F_HANKARD,Unknown,1
DEON_LIEW,Unknown,1
AU_NORTON,Unknown,1
WARRENPORT,Unknown,1
RAUL_STON,Unknown,1
HUSEINALJABBER,Unknown,1
BLACKTIVISTDAVE,LeftTroll,1
ISMAILGAFUR1,Unknown,1
NEVICHENKO,Unknown,1
KHALEDBAKRI7,Unknown,1
ALWAYSHUNGRYBAE,Unknown,1
ERVIN_ALFORD,HashtagGamer,1
PRIBYSHIN,Unknown,1
SHAKURUSUF,Unknown,1
ACTIVEMIKR,Unknown,1
LAMARMUTANT,Unknown,1
DUBOSEBELIKE,Unknown,1
KADENMCCRAY,LeftTroll,1
STERRSAM,RightTroll,1
KZUNIGA26,Unknown,1
KOTZZZLOVRED,Unknown,1
